Time,K22,K17,K24,N11,N5,N3,O8,O17,O18,R2
11/14/1982,5.78004837,6.769384384,7.972795486,5.017522812,5.163202286,4.022842407,6.499670029,4.250865936,4.951005936,8.230991364
11/21/1982,5.532215118,6.085823059,8.073417664,5.017522812,5.163202286,4.022842407,6.499670029,4.250865936,4.951005936,8.392559052
11/28/1982,5.21771431,5.099067688,7.035526276,5.737207413,5.358201981,4.777843475,6.499670029,4.063781738,4.951005936,7.474128723
12/5/1982,5.21771431,5.099067688,7.035526276,5.302522659,5.137317657,4.377843857,6.029668808,4.063781738,5.241004944,5.815696716
12/12/1982,3.802423477,3.702312469,5.452013016,4.895767212,4.73056221,4.007276535,4.702911377,2.676696777,4.041006088,5.075698853
12/19/1982,3.424962997,3.329116821,5.091388702,4.449010849,4.009677887,3.596708298,3.81615448,1.859611511,3.191005707,4.594127655
12/26/1982,3.8177948,3.617677689,4.979280472,5.143695831,4.720561981,3.566707611,3.842912674,1.859611511,3.191005707,4.372558594
1/2/1983,3.460334778,3.264482498,4.638656616,4.579011917,4.513807297,3.566707611,3.63394165,1.663009644,2.994804382,3.642557144
1/9/1983,2.170333862,1.397726059,2.765142441,3.699325562,3.307922363,2.786706924,1.957183838,1.036407471,1.324804306,1.81255722
1/16/1983,1.742874146,0.974531174,2.35451889,3.26256752,2.871164322,2.386137009,0.920427322,0.549804688,0.838602066,1.260986328
1/23/1983,1.465415955,0.701337814,2.093896866,2.995811462,2.604408264,2.155569077,0.621456146,0.263202667,0.552400589,0.889415741
1/30/1983,1.437957764,0.678144455,0.390382767,2.749055862,2.357652664,1.945001602,0.362485886,0.016601563,0.306200027,0.717845917
2/6/1983,1.290496826,0.534948349,0.259757996,1.414369583,1.03676796,0.755001068,0.333515167,0,0.289999008,0.496276855
2/13/1983,1.173038483,0.421754837,0.159135818,1.414369583,1.03676796,0.755001068,0.333515167,0,0.289999008,0.334709167
2/20/1983,1.005580902,0.421754837,0.008514404,0.694684982,0.710884094,0,0.333515167,0,0.289999008,0.163139343
2/27/1983,1.005580902,0.421754837,0.008514404,0.694684982,0.710884094,0,0.026758194,0,0,0.051570892
3/6/1983,1.005580902,0.421754837,0.008514404,0.694684982,0.710884094,0,0.026758194,0,0,0
3/13/1983,1.005580902,0.421754837,0.008514404,0.694684982,0.710884094,0,0.026758194,0,0,0
3/20/1983,0.475290298,0,0,0,0,0,0,0,0,0
3/27/1983,0.475290298,0,0,0,0,0,0,0,0,0
4/3/1983,0,0,0,0,0,0,0,0,0,0
4/10/1983,0,0,0,0,0,0,0,0,0,0
4/17/1983,0,0,0,0,0,0,0,0,0,0
4/24/1983,0,0,0,0,0,0,0,0,0,0
5/1/1983,0,0,0,0,0,0.040000916,0,0,0,0
5/8/1983,0.095291138,0.721755981,0.383514404,0,0,0.040000916,0,0,0,0
5/15/1983,0.095291138,0.721755981,0.383514404,0,0,0.040000916,0,0,0,0.005001068
5/22/1983,0.095291138,0.721755981,0.383514404,0,0,0.040000916,0,0,0,0.005001068
5/29/1983,0.095291138,0.721755981,0.383514404,0,0,0.040000916,0,0,0.010000229,0.005001068
6/5/1983,0.330581665,0.988512039,0.407028198,0,0,0.040000916,0.07175827,0.192085266,0.270000458,0.005001068
6/12/1983,0.330581665,0.988512039,0.407028198,0,0,0.040000916,0.07175827,0.192085266,0.270000458,0.005001068
6/19/1983,0.330581665,0.988512039,0.407028198,0,0,0.040000916,0.07175827,0.192085266,0.270000458,0.005001068
6/26/1983,0.330581665,0.988512039,0.407028198,0,0,0.040000916,0.07175827,0.192085266,0.270000458,0.005001068
7/3/1983,0.800872803,0.988512039,0.407028198,0,0,0.040000916,0.07175827,0.699169159,0.969999313,0.005001068
7/10/1983,0.800872803,0.988512039,0.407028198,0,0,0.040000916,0.07175827,0.699169159,0.969999313,0.005001068
7/17/1983,0.800872803,0.988512039,0.407028198,0,0,0.040000916,0.07175827,0.699169159,0.969999313,0.005001068
7/24/1983,0.800872803,0.988512039,0.407028198,0,0,0,0.07175827,0.699169159,0.969999313,0.005001068
7/31/1983,0.705581665,0.266756058,0.023513794,0,0,0,0.07175827,0.699169159,0.969999313,0.005001068
8/7/1983,0.705581665,0.266756058,0.023513794,0,0,0,0.07175827,0.699169159,0.969999313,0
8/14/1983,0.705581665,0.266756058,0.023513794,0,0,0,0.07175827,0.699169159,0.969999313,0
8/21/1983,0.705581665,0.266756058,0.023513794,0,0,0,0.07175827,0.699169159,0.959999084,0
8/28/1983,0.470291138,0,0,0,0,0,0,0.507083893,0.699998856,0
9/4/1983,0.470291138,0,0,0,0,0,0,0.507083893,0.699998856,0
9/11/1983,0.470291138,0,0,0,0,0,0,0.507083893,0.699998856,0
9/18/1983,0.470291138,0,0,0,0,0,0,0.507083893,0.699998856,0
9/25/1983,0,0,0,0,0,0,0,0,0,0
10/2/1983,0,0,0,0,0,0,0,0,0,0
10/9/1983,0,0,0,0,0,0,0,0,0,0
10/16/1983,0,0,0,0,0,0,0,0,0,0
10/23/1983,0,0,0,0,0,0,0,0,0,0
10/30/1983,0,0,0,0,0,0,0,0,0,0
11/6/1983,0,0,0,0,0,0,0,0,0,0
11/13/1983,0,0,0,0,0,0,0,0.000417709,0,0
11/20/1983,0,0,0,0,0,0,0,0.000417709,0,0
